"Time","House Price Index - All Transactions USA Non-Seasonally Adj  - HPI  - Index"
"20202",456.56
"20201",453.26
"20194",448.79
"20193",444.42
"20192",438.82
"20191",431.12
"20184",426.49
"20183",424.46
"20182",419.09
"20181",410.74
"20174",404.69
"20173",401.01
"20172",394.65
"20171",385.43
"20164",382.05
"20163",378.74
"20162",372.15
"20161",365.21
"20154",361.87
"20153",358.77
"20152",353.44
"20151",347.57
"20144",344.02
"20143",341.19
"20142",336.37
"20141",330.01
"20134",327.16
"20133",324.49
"20132",319.55
"20131",314.65
"20124",313.02
"20123",310.58
"20122",306.61
"20121",307.91
"20114",311.23
"20113",309.85
"20112",307.59
"20111",313.05
"20104",321.93
"20103",324.28
"20102",321.21
"20101",324.13
"20094",328.07
"20093",330.57
"20092",339.50
"20091",348.70
"20084",346.14
"20083",349.37
"20082",360.75
"20081",370.13
"20074",372.83
"20073",374.02
"20072",378.26
"20071",378.51
"20064",377.10
"20063",373.27
"20062",370.23
"20061",366.48
"20054",360.77
"20053",352.79
"20052",342.44
"20051",331.83
"20044",324.39
"20043",317.59
"20042",305.94
"20041",298.64
"20034",294.03
"20033",285.93
"20032",281.60
"20031",278.21
"20024",274.86
"20023",271.01
"20022",265.74
"20021",261.29
"20014",257.59
"20013",254.43
"20012",250.54
"20011",246.41
"20004",240.48
"20003",236.83
"20002",232.60
"20001",228.87
"19994",224.57
"19993",222.27
"19992",219.17
"19991",216.29
"19984",214.04
"19983",211.53
"19982",208.62
"19981",206.77
"19974",203.72
"19973",201.12
"19972",198.39
"19971",196.74
"19964",195.12
"19963",193.61
"19962",192.74
"19961",192.41
"19954",190.27
"19953",188.80
"19952",185.92
"19951",182.92
"19944",181.95
"19943",182.10
"19942",181.36
"19941",180.27
"19934",179.14
"19933",177.67
"19932",176.25
"19931",174.59
"19924",174.52
"19923",173.65
"19922",171.68
"19921",171.72
"19914",170.40
"19913",168.03
"19912",167.75
"19911",166.62
"19904",165.24
"19903",165.88
"19902",164.91
"19901",164.22
"19894",163.31
"19893",161.97
"19892",158.60
"19891",156.45
"19884",154.66
"19883",153.23
"19882",151.68
"19881",148.70
"19874",146.43
"19873",145.49
"19872",143.85
"19871",141.67
"19864",138.92
"19863",136.81
"19862",134.76
"19861",132.01
"19854",129.51
"19853",128.08
"19852",126.13
"19851",124.25
"19844",122.51
"19843",121.53
"19842",120.43
"19841",118.87
"19834",117.07
"19833",116.42
"19832",115.50
"19831",114.22
"19824",112.25
"19823",110.89
"19822",111.92
"19821",110.96
"19814",109.17
"19813",109.16
"19812",107.54
"19811",105.35
"19804",104.79
"19803",104.51
"19802",101.57
"19801",100.00
"19794",98.27
"19793",96.38
"19792",94.40
"19791",91.38
"19784",87.49
"19783",85.19
"19782",82.73
"19781",79.58
"19774",77.25
"19773",74.39
"19772",72.68
"19771",69.43
"19764",67.33
"19763",66.58
"19762",65.45
"19761",62.90
"19754",62.19
"19753",61.20
"19752",60.97
"19751",59.84
