FIPStxt,Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013, Civilian_labor_force_2015 , Employed_2015 , Unemployed_2015 ,Unemployment_rate_2015, Civilian_labor_force_2016 , Employed_2016 , Unemployed_2016 ,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018, Civilian_labor_force_2019 , Employed_2019 , Unemployed_2019 ,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
00000,US,United States,,,,"156,798,981","148,515,185","8,283,796",5,"158,626,135","150,902,618","7,723,517",4.9,"160,158,564","153,183,461","6,975,103",4.4,"161,389,026","155,102,319","6,286,707",3.9,"163,100,055","157,115,247","5,984,808",3.7,"61,937",
01000,AL,Alabama,,,,"2,161,481","2,030,005","131,476",6,"2,182,558","2,055,251","127,307",5.8,"2,186,869","2,090,373","96,496",4.4,"2,216,627","2,130,845","85,782",3.9,"2,241,747","2,174,483","67,264",3.0,"49,881",100.0
01001,AL,"Autauga County, AL",2,2,1,"25,652","24,321","1,331",5,"26,031","24,709","1,322",5.1,"26,075","25,062","1,013",3.9,"26,196","25,261",935,3.6,"26,172","25,458",714,2.7,"59,338",119.0
01003,AL,"Baldwin County, AL",3,2,1,"87,872","83,010","4,862",6,"90,895","86,060","4,835",5.3,"92,456","88,711","3,745",4.1,"95,233","91,809","3,424",3.6,"97,328","94,675","2,653",2.7,"57,588",115.5
01005,AL,"Barbour County, AL",6,6,0,"8,625","7,860",765,9,"8,436","7,736",700,8.3,"8,349","7,863",486,5.8,"8,414","7,987",427,5.1,"8,537","8,213",324,3.8,"34,382",68.9
01007,AL,"Bibb County, AL",1,1,1,"8,589","8,021",568,7,"8,644","8,088",556,6.4,"8,583","8,208",375,4.4,"8,605","8,268",337,3.9,"8,685","8,419",266,3.1,"46,064",92.3
01009,AL,"Blount County, AL",1,1,1,"24,521","23,198","1,323",5,"24,684","23,358","1,326",5.4,"24,822","23,824",998,4.0,"25,069","24,201",868,3.5,"25,331","24,655",676,2.7,"50,412",101.1
01011,AL,"Bullock County, AL",6,6,0,"4,785","4,406",379,8,"4,844","4,514",330,6.8,"4,852","4,614",238,4.9,"4,791","4,571",220,4.6,"4,818","4,643",175,3.6,"29,267",58.7
01013,AL,"Butler County, AL",6,6,0,"9,151","8,457",694,8,"9,229","8,593",636,6.9,"8,975","8,481",494,5.5,"8,973","8,553",420,4.7,"9,263","8,925",338,3.6,"37,365",74.9
01015,AL,"Calhoun County, AL",3,2,1,"45,995","42,764","3,231",7,"46,013","43,016","2,997",6.5,"45,950","43,679","2,271",4.9,"46,307","44,191","2,116",4.6,"46,209","44,574","1,635",3.5,"45,400",91.0
