STATE,COUNTY,FIPS,State,County,POPESTIMATE2016
1,0,1000,Alabama,Alabama,4863525
1,1,1001,Alabama,Autauga County,55243
1,3,1003,Alabama,Baldwin County,207601
1,5,1005,Alabama,Barbour County,25806
1,7,1007,Alabama,Bibb County,22586
1,9,1009,Alabama,Blount County,57494
1,11,1011,Alabama,Bullock County,10389
1,13,1013,Alabama,Butler County,20012
1,15,1015,Alabama,Calhoun County,114973
1,17,1017,Alabama,Chambers County,33745
1,19,1019,Alabama,Cherokee County,25768
1,21,1021,Alabama,Chilton County,43866
1,23,1023,Alabama,Choctaw County,13045
1,25,1025,Alabama,Clarke County,24340
1,27,1027,Alabama,Clay County,13393
1,29,1029,Alabama,Cleburne County,14848
1,31,1031,Alabama,Coffee County,51202
1,33,1033,Alabama,Colbert County,54497
1,35,1035,Alabama,Conecuh County,12500
1,37,1037,Alabama,Coosa County,10819
1,39,1039,Alabama,Covington County,37382
1,41,1041,Alabama,Crenshaw County,13916
1,43,1043,Alabama,Cullman County,82450
1,45,1045,Alabama,Dale County,49362
1,47,1047,Alabama,Dallas County,40080
1,49,1049,Alabama,DeKalb County,71104
1,51,1051,Alabama,Elmore County,81204
1,53,1053,Alabama,Escambia County,37475
1,55,1055,Alabama,Etowah County,102855
1,57,1057,Alabama,Fayette County,16563
1,59,1059,Alabama,Franklin County,31611
1,61,1061,Alabama,Geneva County,26494
1,63,1063,Alabama,Greene County,8482
1,65,1065,Alabama,Hale County,14828
1,67,1067,Alabama,Henry County,17072
1,69,1069,Alabama,Houston County,104218
1,71,1071,Alabama,Jackson County,51988
1,73,1073,Alabama,Jefferson County,660343
1,75,1075,Alabama,Lamar County,13928
1,77,1077,Alabama,Lauderdale County,92425
1,79,1079,Alabama,Lawrence County,33227
1,81,1081,Alabama,Lee County,159168
1,83,1083,Alabama,Limestone County,92847
1,85,1085,Alabama,Lowndes County,10248
1,87,1087,Alabama,Macon County,19060
1,89,1089,Alabama,Madison County,356729
1,91,1091,Alabama,Marengo County,19525
1,93,1093,Alabama,Marion County,29960
1,95,1095,Alabama,Marshall County,95113
1,97,1097,Alabama,Mobile County,414945
1,99,1099,Alabama,Monroe County,21548
1,101,1101,Alabama,Montgomery County,227170
1,103,1103,Alabama,Morgan County,119006
1,105,1105,Alabama,Perry County,9532
1,107,1107,Alabama,Pickens County,20325
1,109,1109,Alabama,Pike County,33464
1,111,1111,Alabama,Randolph County,22504
1,113,1113,Alabama,Russell County,58185
1,115,1115,Alabama,St. Clair County,87306
1,117,1117,Alabama,Shelby County,211282
1,119,1119,Alabama,Sumter County,12967
1,121,1121,Alabama,Talladega County,80552
1,123,1123,Alabama,Tallapoosa County,40586
1,125,1125,Alabama,Tuscaloosa County,206464
1,127,1127,Alabama,Walker County,64533
1,129,1129,Alabama,Washington County,16621
1,131,1131,Alabama,Wilcox County,10844
1,133,1133,Alabama,Winston County,23907
2,0,2000,Alaska,Alaska,741456
2,13,2013,Alaska,Aleutians East Borough,3363
2,16,2016,Alaska,Aleutians West Census Area,5705
2,20,2020,Alaska,Anchorage Municipality,297249
2,50,2050,Alaska,Bethel Census Area,18022
2,60,2060,Alaska,Bristol Bay Borough,902
2,68,2068,Alaska,Denali Borough,2055
2,70,2070,Alaska,Dillingham Census Area,4970
2,90,2090,Alaska,Fairbanks North Star Borough,100633
2,100,2100,Alaska,Haines Borough,2531
2,105,2105,Alaska,Hoonah-Angoon Census Area,2121
2,110,2110,Alaska,Juneau City and Borough,32412
2,122,2122,Alaska,Kenai Peninsula Borough,58458
2,130,2130,Alaska,Ketchikan Gateway Borough,13707
2,150,2150,Alaska,Kodiak Island Borough,13728
2,158,2158,Alaska,Kusilvak Census Area,8181
2,164,2164,Alaska,Lake and Peninsula Borough,1600
2,170,2170,Alaska,Matanuska-Susitna Borough,104119
2,180,2180,Alaska,Nome Census Area,9966
2,185,2185,Alaska,North Slope Borough,9694
2,188,2188,Alaska,Northwest Arctic Borough,7691
2,195,2195,Alaska,Petersburg Borough,3260
2,198,2198,Alaska,Prince of Wales-Hyder Census Area,6519
2,220,2220,Alaska,Sitka City and Borough,8736
2,230,2230,Alaska,Skagway Municipality,1132
2,240,2240,Alaska,Southeast Fairbanks Census Area,6857
2,261,2261,Alaska,Valdez-Cordova Census Area,9314
2,275,2275,Alaska,Wrangell City and Borough,2496
2,282,2282,Alaska,Yakutat City and Borough,612
2,290,2290,Alaska,Yukon-Koyukuk Census Area,5423
4,0,4000,Arizona,Arizona,6941072
4,1,4001,Arizona,Apache County,71381
4,3,4003,Arizona,Cochise County,125686
4,5,4005,Arizona,Coconino County,140407
4,7,4007,Arizona,Gila County,53356
4,9,4009,Arizona,Graham County,37807
4,11,4011,Arizona,Greenlee County,9643
4,12,4012,Arizona,La Paz County,20648
4,13,4013,Arizona,Maricopa County,4256143
4,15,4015,Arizona,Mohave County,205412
4,17,4017,Arizona,Navajo County,108467
4,19,4019,Arizona,Pima County,1016707
4,21,4021,Arizona,Pinal County,417193
4,23,4023,Arizona,Santa Cruz County,46400
4,25,4025,Arizona,Yavapai County,224575
4,27,4027,Arizona,Yuma County,207247
5,0,5000,Arkansas,Arkansas,2989918
5,1,5001,Arkansas,Arkansas County,18154
5,3,5003,Arkansas,Ashley County,20530
5,5,5005,Arkansas,Baxter County,41131
5,7,5007,Arkansas,Benton County,259212
5,9,5009,Arkansas,Boone County,37259
5,11,5011,Arkansas,Bradley County,10959
5,13,5013,Arkansas,Calhoun County,5143
5,15,5015,Arkansas,Carroll County,27728
5,17,5017,Arkansas,Chicot County,10899
5,19,5019,Arkansas,Clark County,22602
5,21,5021,Arkansas,Clay County,15060
5,23,5023,Arkansas,Cleburne County,25173
5,25,5025,Arkansas,Cleveland County,8245
5,27,5027,Arkansas,Columbia County,24026
5,29,5029,Arkansas,Conway County,20874
5,31,5031,Arkansas,Craighead County,105932
5,33,5033,Arkansas,Crawford County,62263
5,35,5035,Arkansas,Crittenden County,49306
5,37,5037,Arkansas,Cross County,17025
5,39,5039,Arkansas,Dallas County,7399
5,41,5041,Arkansas,Desha County,11905
5,43,5043,Arkansas,Drew County,18553
5,45,5045,Arkansas,Faulkner County,122206
5,47,5047,Arkansas,Franklin County,17655
5,49,5049,Arkansas,Fulton County,12099
5,51,5051,Arkansas,Garland County,98282
5,53,5053,Arkansas,Grant County,18064
5,55,5055,Arkansas,Greene County,44730
5,57,5057,Arkansas,Hempstead County,22032
5,59,5059,Arkansas,Hot Spring County,33438
5,61,5061,Arkansas,Howard County,13350
5,63,5063,Arkansas,Independence County,37117
5,65,5065,Arkansas,Izard County,13488
5,67,5067,Arkansas,Jackson County,17282
5,69,5069,Arkansas,Jefferson County,70407
5,71,5071,Arkansas,Johnson County,26127
5,73,5073,Arkansas,Lafayette County,6888
5,75,5075,Arkansas,Lawrence County,16639
5,77,5077,Arkansas,Lee County,9337
5,79,5079,Arkansas,Lincoln County,13728
5,81,5081,Arkansas,Little River County,12406
5,83,5083,Arkansas,Logan County,21732
5,85,5085,Arkansas,Lonoke County,71803
5,87,5087,Arkansas,Madison County,16112
5,89,5089,Arkansas,Marion County,16376
5,91,5091,Arkansas,Miller County,43713
5,93,5093,Arkansas,Mississippi County,42900
5,95,5095,Arkansas,Monroe County,7205
5,97,5097,Arkansas,Montgomery County,8936
5,99,5099,Arkansas,Nevada County,8378
5,101,5101,Arkansas,Newton County,7848
5,103,5103,Arkansas,Ouachita County,24013
5,105,5105,Arkansas,Perry County,10286
5,107,5107,Arkansas,Phillips County,19050
5,109,5109,Arkansas,Pike County,10826
5,111,5111,Arkansas,Poinsett County,23974
5,113,5113,Arkansas,Polk County,20145
5,115,5115,Arkansas,Pope County,63897
5,117,5117,Arkansas,Prairie County,8252
5,119,5119,Arkansas,Pulaski County,394151
5,121,5121,Arkansas,Randolph County,17444
5,123,5123,Arkansas,St. Francis County,26347
5,125,5125,Arkansas,Saline County,117656
5,127,5127,Arkansas,Scott County,10332
5,129,5129,Arkansas,Searcy County,7968
5,131,5131,Arkansas,Sebastian County,127385
5,133,5133,Arkansas,Sevier County,16971
5,135,5135,Arkansas,Sharp County,17007
5,137,5137,Arkansas,Stone County,12509
5,139,5139,Arkansas,Union County,39879
5,141,5141,Arkansas,Van Buren County,16669
5,143,5143,Arkansas,Washington County,228482
5,145,5145,Arkansas,White County,78917
5,147,5147,Arkansas,Woodruff County,6600
5,149,5149,Arkansas,Yell County,21502
6,0,6000,California,California,39167117
6,1,6001,California,Alameda County,1650950
6,3,6003,California,Alpine County,1047
6,5,6005,California,Amador County,37429
6,7,6007,California,Butte County,226231
6,9,6009,California,Calaveras County,45322
6,11,6011,California,Colusa County,21496
6,13,6013,California,Contra Costa County,1137268
6,15,6015,California,Del Norte County,27382
6,17,6017,California,El Dorado County,185976
6,19,6019,California,Fresno County,976830
6,21,6021,California,Glenn County,27840
6,23,6023,California,Humboldt County,136290
6,25,6025,California,Imperial County,180179
6,27,6027,California,Inyo County,17922
6,29,6029,California,Kern County,880856
6,31,6031,California,Kings County,149382
6,33,6033,California,Lake County,63903
6,35,6035,California,Lassen County,30721
6,37,6037,California,Los Angeles County,10105708
6,39,6039,California,Madera County,153956
6,41,6041,California,Marin County,260562
6,43,6043,California,Mariposa County,17456
6,45,6045,California,Mendocino County,87285
6,47,6047,California,Merced County,267628
6,49,6049,California,Modoc County,8961
6,51,6051,California,Mono County,14273
6,53,6053,California,Monterey County,433953
6,55,6055,California,Napa County,140840
6,57,6057,California,Nevada County,98913
6,59,6059,California,Orange County,3164986
6,61,6061,California,Placer County,378943
6,63,6063,California,Plumas County,18665
6,65,6065,California,Riverside County,2380081
6,67,6067,California,Sacramento County,1510987
6,69,6069,California,San Benito County,59225
6,71,6071,California,San Bernardino County,2131960
6,73,6073,California,San Diego County,3306089
6,75,6075,California,San Francisco County,871512
6,77,6077,California,San Joaquin County,732809
6,79,6079,California,San Luis Obispo County,281803
6,81,6081,California,San Mateo County,767906
6,83,6083,California,Santa Barbara County,444340
6,85,6085,California,Santa Clara County,1928368
6,87,6087,California,Santa Cruz County,274396
6,89,6089,California,Shasta County,178571
